,Name,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Watch time (hours),Streamers,Average channels
64,Ace Attorney Investigations 2,0.0,0.0,0.26,0.0,0.26,22458.0,98.0,0.0
65,Ace Attorney Investigations: Miles Edgeworth,0.27,0.15,0.3,0.04,0.76,18810.714285714286,110.42857142857144,0.0
66,Ace Combat 04: Shattered Skies,2.06,0.56,0.38,0.17,3.17,3349.0,117.28571428571428,0.0
67,Ace Combat 2,0.16,0.11,0.56,0.06,0.89,1696.571428571429,47.42857142857143,0.0
68,Ace Combat 3: Electrosphere,0.22,0.15,0.4,0.05,0.83,2602.833333333333,61.5,0.0
69,Ace Combat 5: The Unsung War,0.88,0.34,0.32,0.18,1.71,6422.571428571428,268.2857142857143,0.0
70,Ace Combat 6: Fires of Liberation,0.69,0.04,0.22,0.06,1.02,3184.0,95.85714285714286,0.0
71,Ace Combat X: Skies of Deception,0.37,0.31,0.12,0.19,0.99,776.2857142857143,24.714285714285715,0.0
72,Ace Combat Zero: The Belkan War,0.15,0.12,0.2,0.04,0.51,3334.875,125.75,0.0
73,Ace Combat: Assault Horizon,0.6,0.28,0.25,0.11000000000000001,1.23,2912.0,144.42857142857142,0.0
74,Ace Combat: Assault Horizon Legacy,0.1,0.06,0.08,0.01,0.24,316.1428571428572,21.285714285714285,0.0
75,Ace Combat: Joint Assault,0.06,0.05,0.15,0.03,0.29,194.28571428571428,11.142857142857142,0.0
76,Achtung Panzer: Kharkov 1943,0.0,0.01,0.0,0.0,0.02,28.0,2.0,0.0
77,Act of Aggression,0.0,0.01,0.0,0.0,0.01,1349.2857142857142,53.142857142857146,0.0
78,Action Bass,0.64,0.43,0.0,0.07,1.14,42.0,1.5,0.0
79,Active Health with Carol Vorderman,0.0,0.18,0.0,0.01,0.19,168.5,1.0,0.0
80,Active Life Explorer,0.14,0.0,0.0,0.01,0.15,61.0,2.0,0.0
81,Active Life: Extreme Challenge,0.15,0.27,0.0,0.06,0.48,59.0,1.0,0.0
82,Active Life: Outdoor Challenge,0.79,0.44,0.19,0.14,1.55,791.25,3.25,0.0
83,Activision Anthology,0.25,0.19,0.0,0.06,0.5,375.4,4.6,0.0
84,Activision Anthology,0.03,0.01,0.0,0.0,0.05,375.4,4.6,0.0
85,Actua Tennis,0.07,0.05,0.0,0.01,0.13,67.0,1.0,0.0
86,Adidas Power Soccer,0.02,0.01,0.0,0.0,0.04,384.6666666666667,1.3333333333333333,0.0
87,Adidas Power Soccer 98,0.01,0.01,0.0,0.0,0.02,117.0,1.5,0.0
88,Adrenalin Misfits,0.12,0.02,0.0,0.01,0.14,1.0,0.5,0.0
89,Advance Guardian Heroes,0.03,0.01,0.0,0.0,0.04,595.2,5.2,0.0
90,Advance Wars,0.5,0.19,0.0,0.01,0.7,42980.333333333336,180.5,0.0
91,Advance Wars 2: Black Hole Rising,0.47,0.17,0.0,0.01,0.65,22383.285714285717,122.71428571428572,0.0
92,Advance Wars: Dual Strike,0.3,0.03,0.04,0.03,0.4,22893.285714285717,54.285714285714285,0.0
93,Advent Rising,0.1,0.03,0.0,0.0,0.13,1674.571428571429,42.0,0.0
94,Adventure Island,0.0,0.0,1.05,0.0,1.05,9880.857142857143,74.0,0.0
95,Adventure Time: Explore the Dungeon Because I Don't Know!,0.17,0.1,0.0,0.03,0.30000000000000004,676.5714285714286,14.571428571428571,0.0
96,Adventure Time: The Secret of the Nameless Kingdom,0.0,0.15000000000000002,0.0,0.01,0.16999999999999998,453.7142857142857,16.428571428571427,0.0
97,Adventures of Lolo,0.06,0.0,0.0,0.0,0.06,2258.777777777778,55.77777777777778,0.0
98,Adventures of Tron,0.63,0.03,0.0,0.01,0.67,82.8,2.2,0.0
99,Adventures to Go!,0.1,0.0,0.01,0.01,0.13,6.0,1.0,0.0
100,Aedis Eclipse: Generation of Chaos,0.02,0.0,0.0,0.0,0.02,7.5,1.5,0.0
101,Aegis of Earth: Protonovus Assault,0.05,0.02,0.0,0.01,0.09,40.66666666666666,2.0,0.0
102,Aeon Flux,0.03,0.02,0.0,0.01,0.05,208.66666666666663,5.666666666666667,0.0
103,Aero Elite: Combat Academy,0.04,0.03,0.0,0.01,0.07,32.333333333333336,1.3333333333333333,0.0
104,AeroFighters Assault,0.15,0.04,0.0,0.0,0.19,178.66666666666666,8.333333333333334,0.0
105,Afrika,0.12,0.0,0.08,0.01,0.21,5108.666666666667,10.0,0.0
106,Afro Samurai,0.28,0.1,0.0,0.05,0.44,2588.285714285714,37.142857142857146,0.0
107,After Hours Athletes,0.0,0.1,0.0,0.03,0.12,47.25,1.5,0.0
108,Again,0.07,0.0,0.0,0.0,0.07,19.0,2.0,0.0
109,Agassi Tennis Generation,0.04,0.03,0.0,0.01,0.09,484.0,1.0,0.0
110,Agatha Christie: And Then There Were None,0.06,0.01,0.0,0.01,0.08,774.0,21.571428571428573,0.0
111,Agatha Christie: Death on the Nile,0.0,0.01,0.0,0.0,0.02,59.66666666666666,3.6666666666666665,0.0
112,Agatha Christie: Evil Under the Sun,0.07,0.02,0.0,0.01,0.09,414.0,6.0,0.0
113,Agatha Christie: Peril at End House,0.0,0.01,0.0,0.0,0.01,68.0,2.0,0.0
114,Agatha Christie: The ABC Murders,0.08,0.01,0.0,0.01,0.1,11424.75,282.875,0.0
115,Agatha Christie: The ABC Murders,0.0,0.02,0.0,0.0,0.02,11424.75,282.875,0.0
116,Age of Conan: Rise of the Godslayer,0.0,0.02,0.0,0.0,0.03,1287.0,43.0,0.0
117,Age of Empires II: The Age of Kings,0.01,0.08,0.0,0.02,0.1,10410.0,115.2,0.0
118,Age of Empires III,0.0,0.32,0.0,0.07,0.39,308707.4285714286,2423.8571428571427,2.0
119,Age of Empires III: The Asian Dynasties,0.0,0.05,0.0,0.01,0.07,348274.0,1614.6,2.0
120,Age of Empires Online,0.01,0.04,0.0,0.01,0.06,14957.714285714286,169.0,0.0
121,Age of Empires: Mythologies,0.17,0.03,0.0,0.02,0.22,326.1428571428572,20.857142857142858,0.0
122,Age of Empires: The Age of Kings,0.19,0.02,0.0,0.02,0.23,525.8333333333334,11.333333333333334,0.0
123,Age of Mythology,0.02,0.06,0.0,0.01,0.09,242630.2,1151.7,1.2
124,Aggressive Inline,0.26,0.15,0.0,0.04,0.47,944.2857142857144,23.428571428571427,0.0
125,Agile Warrior F-111X,0.08,0.05,0.0,0.01,0.14,21.33333333333333,0.6666666666666666,0.0
