Game,Watch time (hours),Streamers,Average channels
1-Bit Rogue,1.0,0.0,0.0
1... 2... 3... Kick It!: Drop That Beat Like an Ugly Baby,67.0,7.0,0.0
10 Amazingly Awful Games,4468.8,2.4,0.0
10 BIllion Wives,7.5,2.0,0.0
10 Beautiful Postcards,224.66666666666666,5.333333333333333,0.0
10 Count Boxer,2.0,1.0,0.0
10 Dead Doves,6622.0,37.0,0.0
10 Frame Bowling,3.0,1.0,0.0
10 Miles to Safety,45971.666666666664,180.33333333333334,0.0
10 Minute Barbarian,10.5,1.0,0.0
10 Minute Solution,3.0,2.0,0.0
10 Minutes Till Dawn,23096.0,314.0,0.0
10 Pin: Champions Alley,2.0,1.0,0.0
10 Puzzle,1.0,1.0,0.0
10 Second Ninja,1105.1666666666667,26.333333333333332,0.0
10 Second Ninja X,23519.14285714286,215.85714285714286,0.0
10 Second Run RETURNS,52229.0,18.0,0.0
10 Seconds or Less,35.0,3.6666666666666665,0.0
10 Seconds to Win!,108.0,7.0,0.0
10 Spiele-Hits Vol. 1,9.0,2.0,0.0
10 Years After,214.6,1.4,0.0
10 out of 10: English,54.0,2.0,0.0
10 out of 10: French,693.0,2.0,0.0
10 out of 10: Maths Number,11.0,1.0,0.0
10 seconds,825.0,3.0,0.0
"10,000 Bullets",255.5,6.625,0.0
10-Pin Bowling,9.0,1.0,0.0
10-Yard Fight,420.8,11.8,0.0
100 All-Time Favorites,8.0,1.0,0.0
100 Balls - Tap to Drop in Cup,1.0,0.0,0.0
100 Bullets,18.0,2.0,0.0
100 Classic Book Collection,118.5,3.0,0.0
100 Classic Games,8.5,1.0,0.0
100 Doors Games: Escape from School,1948.0,84.0,0.0
100 Euro,115.0,3.0,0.0
100 Familien Spiele,346.0,4.0,0.0
100 Hidden Birds 2,152.33333333333334,13.333333333333334,0.0
100 Hidden Cats,2328.5,103.5,0.0
100 Hidden Cupcakes,206.0,18.0,0.0
100 KM,121.0,5.0,0.0
100 RUB: Operation Global Denomination,86.0,1.0,0.0
100 Seconds,3.5,1.0,0.0
100 World Story,67.42857142857143,2.142857142857143,0.0
100 Years War Online,237.66666666666666,2.6666666666666665,0.0
100 Years' War,6.0,3.0,0.0
100 Years: Life Simulator,1138.0,22.0,0.0
100 days,121.0,3.0,0.0
